gene_symbol,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16
SLC35A3,6.628992257,6.478052846,6.507502901,7.170515985,7.108973922,7.043661656,6.276688342,6.807664038,7.070389328,6.782474093,7.030998118,7.122351762,6.79199635,7.547511524,7.275044307,7.175235155
SLC44A1,4.737632686,5.914133947,4.317702028,5.979837866,6.037630411,6.227486949,6.106107487,5.589790447,6.070125239,5.451145159,6.042226263,6.0271629,5.40951653,5.482967642,6.670047179,6.173994869
SF3B3,7.345245554,7.177240124,7.435095152,7.370129399,6.856437979,7.853134862,7.034952989,6.780533206,6.354968676,6.54974925,6.791319199,6.047161002,7.038973844,4.801215576,6.547277071,6.114360778
SF3B1,9.14537941,9.525139041,9.635478709,9.460345309,8.840264944,9.184590246,9.535741941,8.867686467,9.154251044,8.673005132,9.223598725,9.317910009,8.654012993,9.054582613,9.350061809,8.589295344
ANGPTL2,4.197896836,5.568816494,5.165835583,1.631760856,4.831801255,6.401852287,5.192920065,4.973739836,4.401316447,1.876703564,2.136496565,4.726809424,3.226308142,3.16651461,2.899738288,1.831994759
ABCB9,3.24286008,5.857456057,7.041681052,3.652119321,3.629076798,6.514297456,4.003557264,3.226903059,4.854000636,4.71968178,4.494140358,5.4034927,6.137286283,4.977110454,5.890191304,4.500904007
FOLH1,3.416029011,3.229214127,5.100334345,2.36701594,3.634058838,4.30910341,4.719484655,1.687504182,2.998372444,3.589775469,1.402754915,4.886754978,3.231045262,2.108658266,3.376484878,2.529628574
ABCA6,3.817694879,3.911643651,3.866809092,3.470719061,1.453643999,3.544720293,3.982829338,3.491737676,1.68198891,3.824818759,2.481399699,4.828880336,2.796780467,0.377834507,4.523768937,-0.319729661
ABCA5,8.017231565,7.711295283,8.19875442,7.750847648,7.735048241,7.975068387,6.943827581,6.519872097,6.682165937,7.606945544,7.278077701,7.339235391,8.377978317,7.702380502,7.801811809,8.355628596
HEY1,6.780520083,6.93233288,7.454488487,7.093781989,6.662476122,10.09850588,6.158025929,5.426922205,5.243604347,5.546169073,5.688107606,6.305981462,6.125868035,5.093247468,5.461325552,4.755581966
ICMT,1.852454353,1.908063511,1.724344676,1.853919819,0.475738618,2.458203494,4.783440939,0.931584731,2.076028847,2.057571575,1.760536069,1.538364334,1.247666286,0.923217652,1.509224577,0.786679994
GCAT,7.26135216,6.679578622,7.321026129,7.018266956,8.097336895,8.012339603,6.85954721,7.868001451,7.449850215,7.426575069,7.507136558,6.826764558,7.53508093,7.560103513,7.157973399,8.165841611
NPTXR,4.578190008,5.087683472,3.846252596,5.765821135,4.781223307,5.082208664,5.177339801,2.907359876,4.000793264,5.132659092,3.652291445,5.921714807,5.437271024,5.900079449,5.907575713,6.171242862
CBX5,5.836489726,6.303314993,6.060094954,5.46889932,6.651324414,6.825124156,4.428256312,5.977710378,5.573068479,5.78576762,6.240157838,5.626500465,6.821480631,5.737757056,6.623490867,6.492335517
PHF3,6.347800283,7.170415835,7.211197192,7.268958316,6.198953763,6.351817345,7.32400048,6.145856762,7.392549266,6.575168599,7.48045902,6.434471441,5.63189295,6.942819433,6.66214852,6.834104404
TRAM1,7.510882822,6.711536205,6.996433943,6.940025764,7.290101811,6.903905941,7.113679665,6.673909705,6.810275997,6.371417722,7.632639022,7.861924357,6.326524765,6.871720462,7.622527757,7.327238248
CAPN7,7.810153867,7.815229571,7.867519684,8.087754533,8.077355171,8.170190473,7.555946495,7.195386973,7.393939542,6.73558987,7.560271686,7.434428071,6.49856363,7.765799923,7.691729563,7.468884662
ETHE1,9.535226767,9.816766083,9.501188324,9.650823785,9.837755642,9.29445074,9.090943384,9.602247894,9.702371843,10.30067287,10.1275817,10.00426261,10.30290162,9.841076815,9.834613258,10.32628341
QPRT,5.850534418,6.320103736,6.430927517,6.016884041,4.244422826,8.658632802,4.111740797,5.641517129,6.366372926,5.502477003,5.748737616,6.219048452,6.063097343,6.587286973,4.953367686,6.399524887
BRD4,12.3835099,12.5107172,12.62529104,12.31422635,12.456588,11.8975165,12.49527294,12.05224878,12.44067195,12.28171853,12.56685082,12.50589341,12.24588838,12.01972624,11.83597538,11.64127506
ISCU,12.68856723,12.6671803,12.77960241,12.720753,12.93347121,12.21134992,12.13734021,12.41345075,12.34938076,12.74182298,12.57794095,12.36879563,12.91752499,12.42302134,12.57946209,12.8452901
FOLR1,1.948873663,3.451989133,2.651660222,2.004774624,1.496124838,8.906283334,3.657399917,4.366825758,4.542326158,4.751286962,3.211104112,2.880893149,2.289743003,2.266768554,3.848868272,2.13027525
SEC61G,9.910097026,10.16769411,9.869134205,9.981724243,10.27869337,11.00776315,10.00701325,9.829998565,10.14570293,10.60937269,10.27879789,10.07436896,10.66127039,10.02163241,10.39808097,10.6805793
TGDS,7.811933359,7.660473739,7.743891911,7.967479897,7.890069675,8.396262261,7.377019605,7.296090263,7.774602594,7.742181415,8.20205034,7.030711272,8.139172723,7.675957033,7.875399192,8.095876962
LEPROTL1,10.34239696,10.41248517,10.42132851,10.65344522,10.36371864,9.933733434,9.897117876,9.732238668,10.1024613,10.49865976,10.43296984,9.888422107,10.80291212,10.36312726,10.34961297,10.71103883
CES3,4.995375973,2.684322796,2.461643803,3.936119653,3.475201643,1.032354792,2.152459274,2.500011668,1.672814534,0.419851666,2.842510257,4.399758992,1.732555756,2.560049694,2.04701482,2.866718111
CBX7,10.55574906,11.08851663,10.71415105,10.73170087,10.60807921,10.33226038,10.1050311,9.600860694,9.676403176,10.02257588,10.46488265,10.38727421,10.51027956,10.62517001,10.76285538,10.75018776
