Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Surrogate_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Surrogate_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Surrogate_Median_Sensitivity	Enrichr_Colorectal_Cancer	Enrichr_Alzheimer's_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Surrogate_Median_Sensitivity
0.000247681	6.27E-05	0.000247681	0.000247681	0.000247681	3.70E-07	0.0358048	3.41E-07	3.70E-07	3.69971E-07	0.3428724	1	1	1	1	0.01584688	0.1529425	0.02146069	0.02146069	0.02146069
0.03446822	1.33E-05	0.004316345	0.02619868	0.015257513	0.01058178	0.1588153	0.04069709	0.1588153	0.099756195	0.528473	1	1	1	1	0.05633472	0.07117367	0.05633472	0.05633472	0.05633472
0.001586336	0.000467901	0.001586336	0.001586336	0.001586336	0.00043897	0.002016458	1.22E-08	0.001820352	0.001129661	1	1	1	1	1	0.01584688	0.1529425	0.4112051	0.2858527	0.2193976
0.000208096	1.05E-05	0.000208096	0.000208096	0.000208096	6.02E-05	0.02500909	1.17E-06	0.02473787	0.012399017	1	1	1	1	1	0.01046916	0.01046916	0.01975693	0.01046916	0.01046916
7.08E-05	5.44E-05	7.08E-05	7.08E-05	7.07535E-05	0.000161439	0.001747415	1.36E-07	0.000161439	0.000161439	1	1	1	1	1	0.01584688	0.000424095	0.0922709	0.0922709	0.05405889
0.001256058	2.56E-05	0.001318809	0.001256058	0.001256058	2.54E-05	0.004194814	2.00E-08	2.54E-05	2.54397E-05	1	1	1	1	1	0.04638651	0.07879413	0.04638651	0.04638651	0.04638651
0.000296587	7.24E-05	0.000296587	0.000296587	0.000296587	0.0006796	0.005741188	2.97E-08	0.0006796	0.0006796	1	1	1	1	1	0.02140266	0.3698103	0.02140266	0.02140266	0.02140266
0.000145257	3.60E-05	0.000145257	0.000145257	0.000145257	0.000434063	0.1186821	0.000142434	0.007184916	0.00380949	0.3707096	1	1	1	1					
6.06E-06	5.98E-05	6.06E-06	6.06E-06	6.05512E-06	6.43E-05	0.001443146	2.09E-06	6.43E-05	6.42553E-05	1	1	1	1	1					
0.000228743	0.000255799	0.000228743	0.000228743	0.000228743	0.000114629	0.009047396	4.73E-08	0.000114629	0.000114629	1	1	1	1	1					
