Chipenrich_Colorectal_Cancer	Chipenrich_Alzheimer's_Disease	Chipenrich_Gastric_Cancer	Chipenrich_Prostate_Cancer	Chipenrich_Median_Sensitivity	Broadenrich_Colorectal_Cancer	Broadenrich_Alzheimer's_Disease	Broadenrich_Gastric_Cancer	Broadenrich_Prostate_Cancer	Broadenrich_Median_Sensitivity	Seq2pathway_Colorectal_Cancer	Seq2pathway_Alzheimer's_Disease	Seq2pathway_Gastric_Cancer	Seq2pathway_Prostate_Cancer	Seq2pathway_Median_Sensitivity	Sample	Enrichr_Colorectal_Cancer	Enrichr_Alzheimers_Disease	Enrichr_Gastric_Cancer	Enrichr_Prostate_Cancer	Enrichr_Median_Sensitivity
62.5	42.85714	75	50	56.25	62.5	28.57143	50	50	50	0	0	0	0	0	GSM2058044	6.666667	14.28571	0	0	3.3333335
68.75	57.14286	87.5	50	62.94643	56.25	57.14286	62.5	40	56.69643	0	0	0	0	0	GSM2058045	14.28571	20	0	11.11111	12.69841
62.5	57.14286	62.5	50	59.82143	50	28.57143	50	70	50	0	0	0	0	0	GSM2058046	15.38462	0	12.5	11.11111	11.805555
68.75	57.14286	87.5	70	69.375	62.5	14.28571	75	50	56.25	0	0	0	0	0	GSM2058047	28.57143	14.28571	25	33.33333	26.785715
50	71.42857	62.5	50	56.25	56.25	28.57143	62.5	50	53.125	0	0	0	0	0	GSM2058048	13.33333	42.85714	12.5	33.33333	23.33333
62.5	71.42857	87.5	60	66.964285	68.75	42.85714	75	70	69.375	0	0	0	0	0	GSM2058049	7.142857	14.28571	12.5	11.11111	11.805555
43.75	57.14286	50	50	50	43.75	28.57143	25	60	36.160715	0	0	0	0	0	GSM2058050	7.692308	28.57143	12.5	11.11111	11.805555
37.5	71.42857	50	50	50	25	14.28571	12.5	20	17.142855	0	0	0	0	0	GSM2058051	6.666667	0	12.5	11.11111	8.8888885
43.75	42.85714	62.5	40	43.30357	50	14.28571	50	50	50	0	0	0	0	0	GSM2058052	7.142857	0	12.5	11.11111	9.1269835
62.5	42.85714	75	60	61.25	43.75	14.28571	37.5	50	40.625	0	0	0	0	0	GSM2058053					
62.5	71.42857	62.5	70	66.25	31.25	0	37.5	50	34.375	0	0	0	0	0	GSM2058054	18.75	28.57143	12.5	25	21.875
43.75	57.14286	75	60	58.57143	43.75	14.28571	37.5	30	33.75	0	0	0	0	0	GSM2058055	8.333333	14.28571	0	22.22222	11.3095215
56.25	57.14286	37.5	40	48.125	56.25	42.85714	37.5	40	41.42857	0	0	0	0	0	GSM2058056	6.25	14.28571	0	11.11111	8.680555
25	28.57143	25	40	26.785715	25	14.28571	37.5	40	31.25	0	0	0	0	0	GSM2058057	16.66667	0	12.5	0	6.25
18.75	14.28571	12.5	20	16.517855	25	14.28571	25	60	25	0	0	NaN	0	0	GSM2058058	0	0	0	0	0
