ID_REF,GSM313235,GSM313236,GSM313237,GSM313238,GSM313239,GSM313240,GSM313241,GSM313242,GSM313243,GSM313244,GSM313245,GSM313246,GSM313247,GSM313248,GSM313249,GSM313250,GSM313251,GSM313252,GSM313253,GSM313254,GSM313255,GSM313256,GSM313257,GSM313258,GSM313259,GSM313260,GSM313261,GSM313262
41141,8.6194,8.70105,8.2269,7.3259,8.2374,7.2181,8.78835,8.596,8.248,7.99465,8.0816,8.411,8.1928,8.7411,8.049,8.49205,7.4021,7.73515,8.3548,7.7685,7.8977,8.28825,7.7346,8.678,7.04815,8.78955,7.6234,8.4592
41144,8.1699,8.34975,8.2096,8.0385,8.6798,7.03135,8.3631,8.4669,8.41185,7.90695,8.69225,8.28515,8.27745,8.25005,8.3551,7.8928,7.7965,7.9776,8.4183,7.68925,8.0161,8.30945,7.4898,8.2077,8.0081,8.20145,7.35505,8.47735
41151,6.79795,6.89615,6.873,7.7932,6.8952,7.99465,7.06665,7.0521,7.1275,7.41215,6.9969,7.21855,7.30435,7.0285,6.84955,6.79145,7.72305,7.88625,6.8586,7.3357,7.112,7.0692,8.0853,6.9707,7.71205,6.8521,8.22575,6.57605
41152,10.5334,10.897,11.0225,10.425,9.70165,9.73345,10.6715,10.35955,10.2916,10.8193,9.27265,11.387,11.003,10.996,10.991,11.448,10.3432,10.604,10.49195,10.55125,9.44195,10.6173,10.3907,10.729,10.7005,10.42805,10.6175,10.696
41155,8.4451,8.48755,7.6997,7.4816,8.7881,7.95225,8.67685,9.05395,8.48855,8.38065,8.6799,8.86955,8.80395,8.38005,8.4743,8.24795,8.1758,8.4265,8.5209,8.12375,8.94985,8.2771,8.1443,8.70765,8.43455,8.6571,8.30885,7.9944
41160,9.1001,8.90955,7.92635,7.63565,9.0456,7.9413,9.11035,9.2699,9.1218,8.74825,9.3381,9.4369,9.2881,8.7034,9.06805,8.91785,8.6123,8.91225,8.9116,8.1513,9.2361,8.93815,8.4498,9.1393,8.92005,9.3624,8.61655,8.1087
41165,8.31975,8.27385,8.20355,8.2262,8.24615,7.68105,8.4344,8.24705,8.3157,7.9527,8.2369,7.8403,8.2094,8.18605,8.3521,8.3296,7.83235,8.23985,8.61845,7.9115,8.07205,8.43345,7.9633,8.4048,8.1721,8.1659,7.85335,8.3906
41168,8.4476,8.22405,7.33845,7.29665,8.0669,7.7854,8.57775,8.58555,8.35615,8.5994,8.21435,8.6258,8.99475,7.9937,8.3111,8.383,8.08435,7.9018,8.2264,7.98575,8.1937,8.14415,8.2747,8.26125,7.70985,8.39375,8.7325,7.2849
41170,7.84155,7.72615,7.7639,7.6765,7.9588,8.2494,8.03095,7.91215,7.689,7.8923,7.53665,8.0106,7.6509,7.93875,7.3882,7.54795,7.91505,7.868,7.7623,7.90075,8.0126,7.84395,8.08625,8.04605,7.53045,8.1529,8.46155,7.81815
41175,8.5015,8.51955,8.5147,8.4995,8.7651,7.8118,8.791,9.14235,8.58815,8.23755,8.9375,8.1676,7.95265,8.5711,8.16305,8.1666,7.6971,8.28215,8.6458,7.9356,8.23865,8.64275,8.04725,8.7944,8.91115,8.49715,8.0946,8.7598
41176,8.76905,8.656,8.8419,8.80575,8.74365,7.79165,8.78285,8.6838,8.6733,8.01535,9.0209,8.69595,8.96985,8.51375,8.94505,8.77175,8.59275,8.60815,8.7838,8.1347,8.5197,8.78035,7.8231,8.6364,8.4159,8.56015,7.8609,8.9909
41177,7.09535,6.877,6.9828,8.2627,6.8303,9.4912,7.27645,7.3064,7.268,8.34465,6.84615,7.23895,7.54365,7.1286,6.95575,7.0707,8.6636,8.4935,7.0504,8.35035,7.9292,7.57825,9.26505,7.5425,8.35985,7.0683,9.58205,6.72245
41178,6.39045,6.60785,6.2305,7.43045,6.66075,7.98965,6.78105,6.8628,6.90275,7.3105,6.70655,6.85005,6.6745,6.61175,6.46445,6.3964,7.4737,7.9707,6.4413,7.2177,6.8284,6.9775,8.0551,6.8201,7.57525,6.4102,8.09585,6.53425
41179,6.8531,6.9117,6.6752,8.5618,7.02915,9.84095,7.17855,7.3141,7.4606,8.3774,7.24145,7.22915,7.5733,7.2109,7.2353,7.08305,9.01165,9.18695,7.1852,8.30415,7.90635,7.55565,9.6513,7.2148,8.618,6.9951,9.8439,7.0159
41180,7.907,7.61675,7.10025,7.28165,8.116,7.12535,8.29055,7.72015,7.7972,7.96525,7.38615,8.117,8.39905,7.6141,7.73415,7.95795,7.67525,7.505,7.2224,7.3894,7.4454,7.4212,7.92215,7.3783,7.97005,8.3504,7.2957,7.28715
41181,8.75655,8.6649,8.8931,8.6646,8.85005,7.8585,8.87765,9.27,8.4048,8.17985,8.84035,8.8709,7.76165,8.65935,8.5842,8.23565,7.93,7.63865,8.75295,8.02175,8.92,8.70415,8.04915,8.71935,7.546,8.72835,8.1268,9.03415
41184,12.0465,12.2085,12.0285,11.828,12.1665,11.745,12.196,12.309,12.006,11.9175,12.347,12.0545,12.267,11.8105,12.3275,12.132,12.2835,11.885,12.29,11.929,12.3285,11.9295,11.5675,11.865,11.536,12.068,12.343,12.1435
41185,8.206,8.499,8.4254,7.79395,8.0394,7.4239,8.11065,7.98725,7.9276,8.25245,7.7544,8.5289,8.4392,8.4329,8.1716,9.035,7.82955,8.1311,8.2129,7.92795,7.63505,8.0587,7.9321,8.16295,8.2208,8.42625,8.06325,8.24825
41186,9.0931,8.91085,9.14775,8.64755,8.78405,8.25415,9.11105,8.4823,8.938,8.81345,8.78755,9.35035,8.73185,9.18775,8.83015,8.9914,8.64135,9.01045,8.98805,8.54545,8.44575,9.01705,8.6616,9.12485,8.3586,9.03115,8.64695,8.98495
41189,9.14185,8.3832,9.154,9.6089,8.86305,8.1753,9.03735,9.35975,8.8313,8.4809,8.8561,10.0484,8.4674,8.8512,8.2579,8.8072,8.61595,8.7866,8.82305,8.1769,8.64195,9.29915,8.39835,9.1175,8.93085,8.4803,8.42835,9.16665
41190,7.9873,8.01895,7.9562,7.61395,8.2286,7.37615,8.13155,8.10875,8.05425,7.5015,8.22705,7.75245,7.83055,8.11525,7.96685,7.9618,7.456,7.57375,8.01555,7.58245,7.80895,8.10345,7.53185,7.9998,7.69195,7.9429,7.4523,8.00195
41193,8.3623,8.6659,8.5725,8.47885,8.05895,8.06725,8.50235,8.24455,8.2461,8.6302,7.82415,8.80665,8.58655,8.7984,8.42425,8.88875,8.8462,8.96505,8.3884,8.033,7.75505,8.42865,8.74725,8.5721,8.7086,8.64405,8.4235,8.39725
