ID_REF,GSM18403,GSM18404,GSM18405,GSM18406,GSM18407,GSM18408,GSM18409,GSM18410,GSM18411,GSM18412
AF007111_at,19.5,66,44.5,53.8,45.5,122.9,142.4,193.2,46.2,37
AF007551_at,126.4,123.2,112.5,162.2,68.8,163.6,101.3,139.5,95.7,151.4
AF007875_at,303.2,248.7,415.4,399.5,293.8,370.7,337.3,361.5,413.4,594.3
AF008445_at,360.7,457.7,304.6,549,351.4,567.7,1095.8,1111.4,703,816.3
AF008937_at,117.1,100.2,65.1,99.2,139.9,285.1,175.6,320.4,180.8,181.4
AF009301_at,497.9,377.3,586,369,687.2,262,400.4,475.6,550,399.7
AF009368_at,445.3,498.1,486,563.7,406,308.3,487.8,317.4,381.1,512
AF009426_at,6.6,21,36.3,34.5,29.6,49.2,40.4,62.4,44.2,55.8
AF009674_at,680.4,469.3,576.3,689.5,805.7,725.7,848.3,581.2,616.5,970.4
AF010193_at,648.3,280.1,382.9,359.9,683.8,458,551,258.2,734.8,626.2
AF012024_s_at,101.3,81.1,73.4,92.3,81.8,108.3,66.3,133.9,60,112.8
AF012270_at,19.1,37.2,16.4,15.9,15.3,14.2,11.3,13.9,10.9,19.2
AF014958_at,586.4,342,312.6,357.6,546.5,361.1,403,338.2,510.2,302.1
AF015910_at,114.7,79.1,123.5,146.1,95.8,202.9,258.3,191.1,125.7,118
AF015913_at,524.4,1113.4,487.3,956.3,487.1,484.7,676.8,930.7,354.9,485.9
AF015950_at,60.4,74.3,47,79.6,80.7,106.3,27,40.9,43.3,78.6
AFFX-BioB-3_at,51.4,83.8,102.9,34.8,61.6,41.6,97.7,145,134.2,139.8
AFFX-BioB-3_st,11.2,12.3,14.3,12.6,14.1,17.5,39.1,22.7,22,30.1
AFFX-BioB-5_at,82,63.1,139.3,105.4,112.9,118.9,200.3,89,103.1,145.8
AFFX-BioB-5_st,50.5,20.5,40,44.8,42.6,48.6,73.8,34.7,88.6,33.7
AFFX-BioB-M_at,106.3,52.6,105.7,104.3,116.4,60.7,159,162,154.4,202.1
AFFX-BioB-M_st,13.2,15.4,13.2,13.7,19.6,18.5,40.4,47.2,15,47.9
AFFX-BioC-3_at,201.1,488,247.1,297.4,213.6,156.6,393.4,242,322.7,388.1
AFFX-BioC-3_st,4.6,22.1,4.1,4.9,9.8,6,19.2,6.7,7,19.6
AFFX-BioC-5_at,300.8,553.2,310,547.1,287.2,289,544.8,380,477.1,639.8
AFFX-BioC-5_st,10.1,18.7,15,8.8,13.5,23.5,18.7,24.8,13.5,32.9
AFFX-BioDn-3_at,1746.5,2178.9,1944.9,2093.9,1454.3,1978.2,2889.2,1953.8,3092,3982.3
