ID_REF,GSM313263,GSM313264,GSM313265,GSM313266,GSM313267,GSM313268,GSM313269,GSM313270,GSM313271,GSM313272,GSM313273,GSM313274,GSM313275,GSM313276,GSM313277,GSM313278,GSM313279,GSM313280,GSM313281,GSM313282,GSM313283,GSM313284,GSM313285,GSM313286,GSM313287,GSM313288,GSM313289,GSM313290,GSM313291,GSM313292,GSM313293,GSM313294,GSM313295,GSM313296,GSM313297
20079,8.21415,8.7782,8.65285,7.645,8.0578,8.35165,8.6041,8.153,8.49035,8.0399,9.17325,8.07155,8.2253,8.01905,8.426,8.3218,8.29495,8.46675,8.42785,7.80315,8.7512,9.2334,8.7118,8.14445,8.7031,7.77395,8.9682,8.2189,8.97005,7.7968,8.3544,8.13895,7.95775,8.27905,7.6212
20080,7.881,9.01215,7.5274,8.8067,9.0091,8.9232,8.2627,8.3153,8.0735,8.45665,8.7812,8.9199,8.54025,8.98915,7.56705,7.9873,8.07705,8.56295,8.4291,8.80335,8.83415,7.14035,8.28075,8.3138,7.94655,8.84945,8.41575,8.4245,7.33015,8.3165,8.78845,8.66555,8.7668,8.40975,9.03535
20082,8.04475,7.53165,7.4808,8.7744,7.5883,7.85265,7.5229,7.75545,7.5874,7.05105,7.67925,9.29945,8.20405,8.03305,7.53515,7.46845,7.6053,7.60485,7.6176,7.5787,7.7345,6.9683,7.49985,7.59455,7.33445,7.0802,6.9885,7.25405,6.92205,7.14315,7.1278,7.2546,9.01775,7.57975,8.21535
20084,9.1664,10.9475,8.9344,8.39535,8.3749,9.76495,8.36275,9.28805,9.30625,8.6463,9.5371,9.36345,10.4155,9.01205,9.3859,8.8659,10.06735,8.87275,9.7081,10.277,9.4582,8.88725,9.6115,9.557,8.6363,9.5815,9.28895,10.9125,9.48465,8.7613,9.01115,9.245,8.8303,8.284,8.65285
20087,8.04245,8.20735,7.9854,7.59565,7.686,7.27715,8.26295,7.61085,7.67335,7.40765,7.6263,7.46375,7.6185,7.56865,8.19595,7.9213,7.86465,7.45915,7.62775,7.65015,7.24205,8.53165,7.8668,7.45485,7.91525,7.45665,7.66805,7.44835,8.17205,7.6895,7.6148,7.68255,7.7066,7.6698,7.42985
20091,8.0748,8.0323,8.30565,7.68115,7.9955,7.68725,8.18135,7.9433,7.65935,7.788,7.3068,7.63255,7.59945,7.82665,8.06825,7.5366,7.88365,7.60005,7.7517,7.70815,7.94135,8.6995,8.48515,7.87635,7.9433,7.4279,8.28225,7.4231,8.57095,7.541,7.94405,7.6902,7.6622,7.4673,7.6335
20094,8.34985,8.75705,8.2544,8.7791,10.2385,10.0288,9.1695,10.04935,9.6562,9.7112,9.31945,9.2243,9.13545,8.85275,8.27245,8.7377,8.67045,8.8036,9.205,8.9012,8.8998,7.24615,8.0377,10.337,9.5712,8.99565,8.50285,9.19345,8.5727,9.5027,9.229,9.83015,9.5006,9.40655,9.26235
20095,8.3849,8.4059,8.1382,7.39705,7.36755,7.49855,8.18945,7.75655,7.6207,7.66005,7.5276,7.73425,7.40285,7.629,8.6607,7.7851,8.1471,7.6365,7.61805,7.2679,7.2472,9.41705,8.2815,7.23745,8.26425,7.85095,8.15955,7.41245,8.5921,7.52605,7.7582,7.51245,7.5309,7.3076,7.45675
20097,11.0395,8.43155,9.72085,9.7226,10.548,10.6535,10.9575,10.575,9.8276,9.8653,10.553,9.76895,9.7405,10.6215,10.2029,10.231,11.329,10.9765,10.586,8.7961,9.59995,9.65495,9.8837,10.7765,10.6675,9.70975,8.9834,10.518,9.5216,9.7544,9.255,9.6391,10.2414,9.81025,10.7685
20100,9.1545,8.1881,8.1139,8.47245,9.6066,8.67695,8.5466,8.5923,8.7635,8.71095,8.92325,7.59425,9.0574,9.0137,9.52695,8.1134,9.19875,8.4416,8.64905,9.28865,8.7932,7.6806,8.2573,7.8846,8.5897,7.48815,8.90935,7.8712,7.21915,8.8674,8.7605,8.7027,7.09115,8.73195,9.242
