ID_REF,GSM1276660,GSM1276661,GSM1276662,GSM1276666,GSM1276667,GSM1276668
7892688,8.16878,8.11445,8.25424,8.58404,8.51288,8.50211
7892689,3.4374,3.16873,4.41305,3.91477,3.85115,3.66015
7892690,4.06388,3.12912,3.22034,2.31277,2.49416,3.3104
7892691,1.57814,1.50606,2.49464,2.25698,2.24824,0.9653
7892692,6.40532,6.31792,6.73162,6.05613,6.16779,6.3321
7892693,7.01316,6.93606,6.65374,6.86839,7.39733,7.08948
7892694,6.51799,7.33354,7.06078,6.99761,6.78351,7.56334
7892695,3.94282,4.30143,3.69304,3.92557,3.08524,3.79482
7892696,4.84881,5.31711,5.16885,5.62948,5.41352,5.32409
7892697,6.09775,6.66519,5.99187,6.7804,6.93691,7.19273
7892698,0.87542,0.84471,0.91008,0.72042,0.81674,0.71219
7892699,6.27828,6.11663,6.44703,5.63501,6.09373,5.30709
7892700,4.56738,4.22723,4.90852,3.3404,4.54598,4.04262
7892701,10.89611,10.99423,10.93979,10.52169,10.72467,10.42631
7892702,5.49803,5.31843,5.88629,4.83426,5.62154,4.84489
7892703,5.17564,5.83114,5.92452,5.71255,5.9367,6.08781
7892704,12.45369,12.41512,12.41009,11.76062,11.69503,11.76893
7892705,4.30678,4.54896,4.0123,4.85137,5.04831,4.0936
7892706,4.79414,5.24409,4.80179,4.6727,5.09463,3.8141
7892707,8.05319,8.28095,8.13178,8.67694,8.53427,8.26217
7892708,3.49568,2.62016,1.89876,2.34484,3.37049,2.15538
7892709,4.99602,4.53336,5.16941,6.52237,6.33073,5.90987
7892710,1.33435,1.13753,1.7512,2.51875,1.94415,1.76678
7892711,5.95397,6.54953,6.4763,6.90196,7.04289,6.71491
7892712,6.32194,5.39775,6.27409,6.92784,6.94563,6.57242
7892713,6.65276,6.41702,7.11283,7.90989,7.56584,7.87951
7892714,2.52671,2.32915,1.53056,1.33909,2.26286,1.2102
7892715,1.87018,2.75048,2.87425,3.11222,2.14923,2.61347
7892716,4.7829,4.89767,4.86884,4.79171,4.83561,3.96991
7892717,3.42861,4.29492,3.28525,3.81526,3.09218,3.48994
7892718,4.13769,2.15824,2.52841,2.5016,2.73498,2.18385
7892719,7.26169,6.96967,7.58971,8.08294,7.43495,7.63366
7892720,8.87702,8.77545,8.70894,9.84471,9.99374,10.23806
7892721,7.82854,7.8288,8.13089,8.54515,8.29446,8.30649
7892722,1.20201,1.18173,0.58194,0.75816,0.93697,0.8848
7892723,1.46247,1.88466,2.21861,2.51396,1.73655,2.20209
7892724,4.46711,3.57176,3.82043,6.2668,5.44641,5.77211
7892725,2.41414,3.79115,2.4023,2.84516,2.73864,2.25484
7892726,4.80687,4.49314,5.23884,4.99115,5.2879,4.55019
7892727,4.37731,2.51515,3.68487,4.13769,4.35654,3.38895
7892728,2.28741,2.77062,2.4811,3.02301,3.26266,2.41259
7892729,4.75645,2.12919,4.03967,2.11366,4.34229,2.6223
7892730,2.80571,2.04731,2.14857,2.33108,1.85611,2.45288
7892731,2.90597,3.02809,3.31171,2.28172,2.99251,2.5619
7892732,5.05676,3.61611,2.48264,5.74612,6.00514,4.28589
7892733,2.47443,2.99677,4.39035,4.07844,4.47668,3.62328
7892734,3.48868,3.46721,4.26212,3.64374,3.63805,3.77481
7892735,1.24853,2.28139,2.35791,2.96883,3.7073,2.84732
7892736,4.29378,2.86207,3.73338,3.81748,2.94236,3.931
7892737,2.34404,2.6711,2.63073,3.24573,3.07835,3.08901
7892738,5.33021,4.85197,5.59864,5.64984,5.90773,5.82995
7892739,1.72342,4.17195,3.61883,3.42924,3.02929,3.09143
7892740,2.11365,2.34444,3.32983,2.74638,1.43854,1.84086
7892741,3.65891,3.64196,3.59875,3.84568,3.62585,3.27639
7892742,8.6531,8.45363,8.53739,8.51262,8.84059,7.95448
7892743,1.19496,1.10145,1.34102,1.81939,2.11882,1.3273
7892744,2.69386,4.24421,4.76705,4.56855,5.44131,4.43413
7892745,8.56064,8.36811,8.16109,8.54612,8.70778,8.24957
7892746,1.49391,1.46061,1.22124,0.92469,1.0268,1.55374
7892747,6.82334,7.36093,7.55783,6.50309,6.38879,6.71363
7892748,8.05076,8.24296,8.53948,9.12728,8.66234,8.7726
