cold_27h_1	cold_27h_2	cold_27h_3	cold_3h_1	cold_3h_2	cold_3h_3	cold_9h_1	cold_9h_2	cold_9h_3	control_27h_1	control_27h_2	control_27h_3	control_3h_1	control_3h_2	control_3h_3	control_9h_1	control_9h_2	control_9h_3	heat_27h_1	heat_27h_2	heat_27h_3	heat_3h_1	heat_3h_2	heat_3h_3	heat_9h_1	heat_9h_2	heat_9h_3	salt_27h_1	salt_27h_2	salt_27h_3	salt_3h_1	salt_3h_2	salt_3h_3	salt_9h_1	salt_9h_2	salt_9h_3
STMBB25	-0.666576266274808	-0.340075441597622	-0.0892673380970874	-0.473931188332412	-0.340075441597622	-0.434402824145775	-0.0588936890535686	-0.395928676331139	0.176322772640463	0	0.0285691521967709	0.0426443374084937	0.0894981508391026	-0.0588936890535686	-0.0291463456595165	-0.0588936890535686	0.0257375614136083	-0.168122758808327	-0.473931188332412	-0.0740005814437769	-0.0740005814437769	-0.415037499278844	-0.104697378666693	0.111031312388744	-0.971430847803229	0.0426443374084934	-0.104697378666693	0.214124805352847	-0.184424571137427	0.0426443374084937	0.150559676575381	0.137503523749935	-0.104697378666693	0.263034405833794	0.189033824390017	-0.514573172829758
STMBB27	-0.454031630894707	-0.0144995696951151	0.321928094887362	-0.0144995696951151	0	0.263034405833794	-0.15200309344505	-0.473931188332412	-0.599462070416271	0.0840642647884745	0.070389327891398	0.214124805352847	-0.0892673380970872	0.189033824390017	0.333423733725192	-0.713118852211838	0	0.16349873228288	0.0143552929770701	0.389566811762726	0.0143552929770701	-0.0740005814437769	-0.286304185156641	0.238786859587116	-0.761213140412883	-0.494109070270043	-0.415037499278844	0.0976107966264223	0.0976107966264223	-0.494109070270043	-0.0588936890535686	-0.234465253637023	0.22650852980868	-1.47393118833241	-0.736965594166206	-0.810966175609983
STMBB31	-1.02914634565952	-0.971430847803229	-0.104697378666693	-0.556393348524385	-0.83650126771712	-0.15200309344505	-0.643856189774725	-0.577766999316952	-0.556393348524385	0.16349873228288	-0.2688167584278	0.111031312388744	0.0976107966264223	-0.454031630894707	0.176322772640463	0.070389327891398	0.189033824390017	0.0976107966264223	-0.136061549576028	-0.395928676331139	-0.251538766995965	0.31034012061215	-0.200912693925996	0.16349873228288	0.422233000683048	-0.0439433475875971	-0.184424571137427	-0.200912693925996	-0.577766999316952	-0.473931188332412	0.16349873228288	-0.514573172829758	0.298658315564515	-0.395928676331139	-0.643856189774725	-0.3040061868901
STMBB32	0.584962500721156	0.356143810225275	1.52105073690096	0.0143552929770701	-0.200912693925996	-0.0588936890535686	0.807354922057604	-0.377069649079823	0.0285691521967709	-0.200912693925996	-0.666576266274808	0.55581615506164	0.16349873228288	-0.136061549576028	-0.168122758808327	0.565597175854225	-0.810966175609983	0.070389327891398	1.19534759832222	-0.535331732996556	0.263034405833794	0.0426443374084937	-0.340075441597622	-0.810966175609983	0.333423733725192	-1.55639334852439	-0.494109070270043	0.687060688339892	-0.200912693925996	1.43829285157915	-0.0740005814437769	-0.184424571137427	-0.200912693925996	1.19534759832222	-0.15200309344505	0.443606651475615
STMBB56	0.189033824390017	0.367371065648529	0.298658315564515	0.250961573533219	0.31034012061215	0.150559676575381	-0.0740005814437769	0.400537929583729	0.263034405833794	0.0426443374084937	0.176322772640463	0.485426827170242	0.137503523749935	0.432959407276106	-0.136061549576028	0.277389698810864	0.333423733725192	0.545968369105293	-0.104697378666693	-0.0144995696951153	0.454175893185802	0.263034405833794	0.150559676575381	0.209141397838592	0.119024103142275	0.0143552929770701	0.263034405833794	0.250961573533219	0.137503523749935	0.216610068742441	-0.0892673380970874	0.0143552929770701	0.356143810225275	0.291603558030565	0.173767067736706	0.0426443374084937
STMCB03	-0.200912693925996	-0.643856189774725	0.214124805352847	-1.39592867633114	-1.12029423371771	-0.666576266274808	0.31034012061215	-0.0439433475875971	-0.0291463456595165	0.0426443374084937	0.176322772640463	0.0285691521967709	0.189033824390017	-0.0740005814437769	0.0976107966264223	-0.184424571137427	-0.234465253637023	-0.136061549576028	1.29278174922785	1.05658352836637	0.475084882948783	0.823749360308273	0.321928094887362	0.722466024471091	0.286881147788162	0.443606651475615	0.298658315564515	1.08406426478847	1.26303440583379	0.782408564927373	0.263034405833794	0.150559676575381	0.20163386116965	0.0840642647884745	0.20163386116965	0.20163386116965
STMCB23	0.176322772640463	-0.535331732996556	-0.241270431542138	-0.0892673380970874	0.034215715337913	0.0840642647884745	-0.00868224309980072	-0.120294233717712	0.0976107966264223	0.0143552929770701	-0.184424571137427	-0.0985055449524252	-0.0469210473874926	-0.643856189774725	-0.214240225572989	-0.0203404482841755	0	0.150559676575381	-0.184424571137427	-0.136061549576029	-0.168122758808327	-0.136061549576028	-0.434402824145775	-0.351074440546879	-0.120294233717712	0.137503523749935	-0.217591435072627	-0.217591435072627	-0.2688167584278	-0.395928676331139	-0.168122758808327	0.111031312388744	-0.181149439104566	-0.248107861595691	-0.785875194647153	-0.666576266274808
STMCB49	-0.68965987938785	-0.68965987938785	-0.358453970912476	-0.643856189774725	0.238786859587116	0.0285691521967709	-0.168122758808327	-0.785875194647153	-0.0588936890535686	0.0426443374084937	0.22650852980868	0.495695162624069	0.0143552929770701	0.389566811762726	0.22650852980868	0.0565835283663675	-0.0740005814437769	0.0840642647884745	-0.286304185156641	0.070389327891398	-0.0892673380970874	-0.340075441597622	-0.184424571137427	0.214124805352847	0.0143552929770701	0.070389327891398	0.356143810225275	-0.377069649079823	-0.577766999316952	-0.556393348524385	0.0565835283663675	-0.0588936890535686	-0.15200309344505	0.0285691521967709	-0.713118852211838	-0.200912693925996
STMCC04	-0.395928676331139	-0.0291463456595165	0.189033824390017	0.333423733725192	-0.0892673380970874	-0.184424571137427	0.150559676575381	0.238786859587116	-0.136061549576028	-0.0439433475875971	0.150559676575381	-0.0291463456595165	-0.234465253637023	-0.168122758808327	0.0285691521967709	-0.251538766995965	-0.104697378666693	0.356143810225275	-0.0439433475875971	0.389566811762726	-0.15200309344505	0.286881147788162	0.0143552929770701	0.0426443374084937	0	-0.120294233717712	-0.0588936890535686	0.238786859587116	0.545968369105293	0.20163386116965	0.37851162325373	-0.888968687611256	-0.0144995696951151	-0.434402824145775	0	0.214124805352847
STMCC17	-0.358453970912476	-0.68965987938785	-0.0954195650786826	0.0426443374084937	-0.0740005814437769	0.545968369105293	-0.3040061868901	-0.358453970912476	-0.577766999316952	0.214124805352847	-0.168122758808327	0.0840642647884745	-0.0892673380970874	-0.0740005814437769	0.584962500721156	-0.454031630894707	0.0285691521967709	0.422233000683048	-0.3040061868901	-0.358453970912476	-0.0291463456595165	0.505890929729957	0.0840642647884745	-0.0439433475875971	-0.395928676331139	-0.643856189774725	0.214124805352847	-0.434402824145775	-0.494109070270043	-0.168122758808327	0.704871964456353	0.333423733725192	1.13093086982645	-0.377069649079823	-1.35845397091248	-0.666576266274808
